Your Input	WormBase Gene ID
rrn-1.1	WBGene00004512
rrn-1.10	WBGene00004521
rrn-1.11	WBGene00004522
rrn-1.12	WBGene00004523
rrn-1.13	WBGene00004524
rrn-1.14	WBGene00004525
rrn-1.15	WBGene00004526
rrn-1.16	WBGene00004527
rrn-1.17	WBGene00004528
rrn-1.18	WBGene00004529
rrn-1.19	WBGene00004530
rrn-1.2	WBGene00004513
rrn-1.20	WBGene00004531
rrn-1.21	WBGene00004532
rrn-1.22	WBGene00004533
rrn-1.23	WBGene00004534
rrn-1.24	WBGene00004535
rrn-1.25	WBGene00004536
rrn-1.26	WBGene00004537
rrn-1.27	WBGene00004538
rrn-1.28	WBGene00004539
rrn-1.29	WBGene00004540
rrn-1.3	WBGene00004514
rrn-1.30	WBGene00004541
rrn-1.31	WBGene00004542
rrn-1.32	WBGene00004543
rrn-1.33	WBGene00004544
rrn-1.34	WBGene00004545
rrn-1.35	WBGene00004546
rrn-1.36	WBGene00004547
rrn-1.37	WBGene00004548
rrn-1.38	WBGene00004549
rrn-1.39	WBGene00004550
rrn-1.4	WBGene00004515
rrn-1.40	WBGene00004551
rrn-1.41	WBGene00004552
rrn-1.42	WBGene00004553
rrn-1.43	WBGene00004554
rrn-1.44	WBGene00004555
rrn-1.45	WBGene00004556
rrn-1.46	WBGene00004557
rrn-1.47	WBGene00004558
rrn-1.48	WBGene00004559
rrn-1.49	WBGene00004560
rrn-1.5	WBGene00004516
rrn-1.50	WBGene00004561
rrn-1.51	WBGene00004562
rrn-1.52	WBGene00004563
rrn-1.53	WBGene00004564
rrn-1.54	WBGene00004565
rrn-1.55	WBGene00004566
rrn-1.6	WBGene00004517
rrn-1.7	WBGene00004518
rrn-1.8	WBGene00004519
rrn-1.9	WBGene00004520
rrn-2.1	WBGene00004567
rrn-2.10	WBGene00004576
rrn-2.11	WBGene00004577
rrn-2.12	WBGene00004578
rrn-2.13	WBGene00004579
rrn-2.14	WBGene00004580
rrn-2.15	WBGene00004581
rrn-2.16	WBGene00004582
rrn-2.17	WBGene00004583
rrn-2.18	WBGene00004584
rrn-2.19	WBGene00004585
rrn-2.2	WBGene00004568
rrn-2.20	WBGene00004586
rrn-2.21	WBGene00004587
rrn-2.22	WBGene00004588
rrn-2.23	WBGene00004589
rrn-2.24	WBGene00004590
rrn-2.25	WBGene00004591
rrn-2.26	WBGene00004592
rrn-2.27	WBGene00004593
rrn-2.28	WBGene00004594
rrn-2.29	WBGene00004595
rrn-2.3	WBGene00004569
rrn-2.30	WBGene00004596
rrn-2.31	WBGene00004597
rrn-2.32	WBGene00004598
rrn-2.33	WBGene00004599
rrn-2.34	WBGene00004600
rrn-2.35	WBGene00004601
rrn-2.36	WBGene00004602
rrn-2.37	WBGene00004603
rrn-2.38	WBGene00004604
rrn-2.39	WBGene00004605
rrn-2.4	WBGene00004570
rrn-2.40	WBGene00004606
rrn-2.41	WBGene00004607
rrn-2.42	WBGene00004608
rrn-2.43	WBGene00004609
rrn-2.44	WBGene00004610
rrn-2.45	WBGene00004611
rrn-2.46	WBGene00004612
rrn-2.47	WBGene00004613
rrn-2.48	WBGene00004614
rrn-2.49	WBGene00004615
rrn-2.5	WBGene00004571
rrn-2.50	WBGene00004616
rrn-2.51	WBGene00004617
rrn-2.52	WBGene00004618
rrn-2.53	WBGene00004619
rrn-2.54	WBGene00004620
rrn-2.55	WBGene00004621
rrn-2.6	WBGene00004572
rrn-2.7	WBGene00004573
rrn-2.8	WBGene00004574
rrn-2.9	WBGene00004575
rrn-3.1	WBGene00004622
rrn-3.10	WBGene00004631
rrn-3.11	WBGene00004632
rrn-3.12	WBGene00004633
rrn-3.13	WBGene00004634
rrn-3.14	WBGene00004635
rrn-3.15	WBGene00004636
rrn-3.16	WBGene00004637
rrn-3.17	WBGene00004638
rrn-3.18	WBGene00004639
rrn-3.19	WBGene00004640
rrn-3.2	WBGene00004623
rrn-3.20	WBGene00004641
rrn-3.21	WBGene00004642
rrn-3.22	WBGene00004643
rrn-3.23	WBGene00004644
rrn-3.24	WBGene00004645
rrn-3.25	WBGene00004646
rrn-3.26	WBGene00004647
rrn-3.27	WBGene00004648
rrn-3.28	WBGene00004649
rrn-3.29	WBGene00004650
rrn-3.3	WBGene00004624
rrn-3.30	WBGene00004651
rrn-3.31	WBGene00004652
rrn-3.32	WBGene00004653
rrn-3.33	WBGene00004654
rrn-3.34	WBGene00004655
rrn-3.35	WBGene00004656
rrn-3.36	WBGene00004657
rrn-3.37	WBGene00004658
rrn-3.38	WBGene00004659
rrn-3.39	WBGene00004660
rrn-3.4	WBGene00004625
rrn-3.40	WBGene00004661
rrn-3.41	WBGene00004662
rrn-3.42	WBGene00004663
rrn-3.43	WBGene00004664
rrn-3.44	WBGene00004665
rrn-3.45	WBGene00004666
rrn-3.46	WBGene00004667
rrn-3.47	WBGene00004668
rrn-3.48	WBGene00004669
rrn-3.49	WBGene00004670
rrn-3.5	WBGene00004626
rrn-3.50	WBGene00004671
rrn-3.51	WBGene00004672
rrn-3.52	WBGene00004673
rrn-3.53	WBGene00004674
rrn-3.54	WBGene00004675
rrn-3.55	WBGene00004676
rrn-3.56	WBGene00004677
rrn-3.6	WBGene00004627
rrn-3.7	WBGene00004628
rrn-3.8	WBGene00004629
rrn-3.9	WBGene00004630
