"","vector1","vector2","vector3","vector4","vector5","vector6","RNAi1","RNAi2","RNAi3","RNAi4","RNAi5","RNAi6","ctr_readsCount","logFC1","logFC2","logFC3","logFC4","logFC5","logFC6","names","NotCorrected"
"alh-9",503.114379041459,504.595947695512,534.149385373237,NA,NA,NA,406.077450044563,307.76931506108,481.140313210609,NA,NA,NA,3925.5,-0.309131507585423,-0.713279219823585,-0.150785593069515,NA,NA,NA,"alh-9",FALSE
"tkt-1",141.439571558851,123.36978150273,141.160481391616,NA,NA,NA,87.0664756080555,101.073920312529,106.910922487577,NA,NA,NA,886.5,-0.699996579396612,-0.287578267895134,-0.40092700255488,NA,NA,NA,"tkt-1",FALSE
"rpia-1",155.522760687155,156.870013938096,152.096823443554,NA,NA,NA,46.6146737371054,64.0665061587132,46.9668359152874,NA,NA,NA,1001,-1.7382696591016,-1.29192738324074,-1.69527571275682,NA,NA,NA,"rpia-1",TRUE
"Y39G8B.1",22.7474852704521,28.1697726126527,24.5272643122835,NA,NA,NA,7.92590930434822,7.55042789218668,6.82003082653934,NA,NA,NA,193.5,-1.52105870065373,-1.89951760707871,-1.84653616420779,NA,NA,NA,"Y39G8B.1",TRUE
"aldo-1",84.9341271421119,69.7097398774591,63.7791192241533,NA,NA,NA,9.32366662784058,3.99296190552128,5.55512564337721,NA,NA,NA,438.5,-3.1873750292459,-4.12582903095041,-3.52119272708617,NA,NA,NA,"aldo-1",TRUE
"ZK1058.3",3.74282447280774,3.3130027883776,2.05487868722266,NA,NA,NA,2.0079719575904,3.07725573615856,2.79529973455523,NA,NA,NA,24,-0.898388270356815,-0.106495073449044,0.443949763943871,NA,NA,NA,"ZK1058.3",FALSE
"cha-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cha-1",TRUE
"K08E3.5",273.692997387249,299.018425970537,286.865544594694,NA,NA,NA,38.5912189958527,34.6154323434844,34.7999470267473,NA,NA,NA,2222,-2.82621400220602,-3.11074711572216,-3.04321768140169,NA,NA,NA,"K08E3.5",FALSE
"gpd-4",62.8931212087964,57.3725969856217,53.8679016789332,NA,NA,NA,4.52071391114085,2.56013309541163,1.83442649865766,NA,NA,NA,406.5,-3.79827970811909,-4.48607110376317,-4.876024863533,NA,NA,NA,"gpd-4",FALSE
"tald-1",111.619579265851,77.8081522958305,71.0328706914235,NA,NA,NA,25.3116828254122,35.1460233589557,17.792409351487,NA,NA,NA,547,-2.14071478139119,-1.14655985752905,-1.99722490518231,NA,NA,NA,"tald-1",FALSE
"alh-4",235.784026147045,242.25963399879,235.774655978058,NA,NA,NA,40.9903377912665,61.4896245866264,43.9477974028698,NA,NA,NA,1811,-2.52411019816092,-1.97813913493784,-2.4235458810652,NA,NA,NA,"alh-4",TRUE
"ipgm-1",101.171916343159,121.009029104434,101.447862540186,NA,NA,NA,38.8023307161921,34.1943954461691,26.8971837823513,NA,NA,NA,807,-1.3825936596129,-1.82328291041043,-1.91521143728799,NA,NA,NA,"ipgm-1",TRUE
"gspd-1",48.212361751171,51.5083236503227,50.8960300504391,NA,NA,NA,27.1888762579864,28.5158786555586,20.3127680540214,NA,NA,NA,320,-0.826386579293405,-0.853040101057286,-1.32516627736169,NA,NA,NA,"gspd-1",FALSE
"Y17G7B.3",2.33663218368832,2.56856279230783,2.53714192741699,NA,NA,NA,1.17014475129378,1.32392131194247,1.30238349202876,NA,NA,NA,15.5,-0.997743645385431,-0.956143965677326,-0.962049907463336,NA,NA,NA,"Y17G7B.3",TRUE
"pyk-2",12.4132829723777,11.6433463766733,12.6343709583336,NA,NA,NA,2.91917675323323,5.46111587199057,1.14619617606032,NA,NA,NA,78.5,-2.08825124680311,-1.09223808534336,-3.46242794361894,NA,NA,NA,"pyk-2",TRUE
